seq_id,n_frames,sa,tags
20190925_111757_1_1,1000,0.045742838387577006,"TC,TC-EASY"
20190925_111757_1_10,348,0.9142990349420504,"TC,OV,TC-HARD"
20190925_111757_1_2,1000,0.13001557308022224,"FM,SV,TC,TC-MID"
20190925_111757_1_3,1000,0.6639212278493812,"TC,TC-EASY"
20190925_111757_1_4,1000,0.7158225189547524,"TC,TC-EASY"
20190925_111757_1_5,1000,0.5513524752780211,"TC,TC-MID"
20190925_111757_1_6,1000,-0.010711781902341289,"TC,TC-HARD"
20190925_111757_1_7,1000,0.707551831322959,"TC,OV,TC-MID"
20190925_111757_1_8,1000,0.3655422178231289,"SV,TC,TC-MID"
20190925_111757_1_9,1000,0.3133540458330297,"FM,SV,LR,TC,TC-HARD"
20190925_124000_1_1,1000,0.7392246009537565,
20190925_124000_1_10,164,0.782208580146673,"TC,TC-EASY"
20190925_124000_1_2,1000,0.5072820584197851,"TC,TC-EASY"
20190925_124000_1_3,1000,0.4858801268418401,"TC,TC-EASY"
20190925_124000_1_4,1000,0.32754248182318696,"SV,TC,TC-MID"
20190925_124000_1_5,1000,0.11025869396946225,"TC,TC-HARD"
20190925_124000_1_6,1000,0.3633930637418328,"FM,TC,TC-MID"
20190925_124000_1_7,1000,-0.02379350178791853,"FM,TC,TC-HARD"
20190925_124000_1_8,1000,0.05021355757144075,"TC,TC-HARD"
20190925_124000_1_9,1000,0.23600129781984291,"TC,TC-HARD"
20190925_124612_1_1,1000,0.6713731120419586,"TC,TC-MID"
20190925_124612_1_2,1000,0.28581447424218476,"TC,TC-HARD"
20190925_124612_1_3,1000,0.13208939533842323,"SV,TC,OV,TC-HARD"
20190925_124612_1_4,1000,0.34008622849185205,"SV,TC,TC-EASY"
20190925_124612_1_5,1000,0.13654477671050175,"TC,TC-MID"
20190925_124612_1_6,1000,0.6458452517545148,"TC,TC-EASY"
20190925_124612_1_7,1000,0.5498892347402696,"TC,TC-MID"
20190925_124612_1_8,923,0.3538453955750306,"FM,TC,TC-HARD"
20190925_134301_1_1,1000,0.6868465141372638,"SV,TC,TC-HARD"
20190925_134301_1_2,1000,0.6614110893851305,"TC,TC-MID"
20190925_134301_1_3,1000,0.6634715052886822,"TC,TC-MID"
20190925_134301_1_4,1000,0.636985196278374,"TC,TC-MID"
20190925_134301_1_5,1000,0.6114846697415972,"SV,TC,TC-MID"
20190925_134301_1_6,1000,0.4328693890433888,"LR,TC,TC-HARD"
20190925_134301_1_7,1000,0.7611089883610707,
20190925_134301_1_8,1000,0.7021689967662185,"FM,TC,TC-MID"
20190925_134301_1_9,619,0.60821142476857,"TC,TC-MID"
20190925_193610_1_1,933,0.7944995972814428,"FM,LI,LR,OV"
20190925_193610_1_2,932,0.7971177333944907,"FM,LI,LR,OV"
20190925_193610_1_3,950,0.7807630593489969,"FM,SV,LI,OV"
20190925_193610_1_4,943,0.7431572253482761,"FM,LI,OV"
20190925_193610_1_5,948,0.7975014497533046,"FM,LI,OV"
20190925_193610_1_6,923,0.7858906585231573,"FM,LI"
20190925_193610_1_7,939,0.8032307939730747,"FM,LI"
20190925_193610_1_8,921,0.7805987146761776,"FM,SV,LI"
20190925_193610_1_9,889,0.7202372587009059,"FM,SV,LI,LR"
20190925_200805_1_1,950,0.6669557668630539,"FM,LI,LR,TC,TC-MID"
20190925_200805_1_2,934,0.6303224817796353,"FM,LI,LR,TC,TC-HARD"
20190925_200805_1_3,1000,0.626549671319136,"FM,SV,LI,LR,TC,TC-MID"
20190925_200805_1_4,940,0.6089740812407334,"FM,SV,LI,LR,TC,TC-HARD"
20190925_200805_1_5,1000,0.768916602206043,"FM,SV,LI,LR,TC,OV,TC-HARD"
20190925_200805_1_6,862,0.7464947639034235,"FM,LI,LR,TC,OV,TC-HARD"
20190925_200805_1_7,958,0.7086006164099434,"FM,LI,LR,TC,OV,TC-MID"
20190925_200805_1_8,933,0.7344578224349595,"FM,SV,LI,LR,TC,OV,TC-MID"
20190925_200805_1_9,475,0.7935830154007026,"FM,LI,LR,OV"
20190926_095902_1_1,1000,0.7725541411522242,"FM,OV"
20190926_095902_1_2,1000,0.7309165902400252,
20190926_095902_1_3,1000,0.8098883184723535,"FM,SV,OC,OV"
20190926_095902_1_4,1000,0.600573552606374,SV
20190926_095902_1_5,1000,0.7898000633507274,FM
20190926_095902_1_6,1000,0.7815914846873054,
20190926_095902_1_7,1000,0.748305098872482,
20190926_095902_1_8,1000,0.6631940153642216,"OC,OV"
20190926_095902_1_9,764,0.7386899524087145,
20190926_102042_1_1,1000,0.8396197963706488,"TC,TC-EASY"
20190926_102042_1_2,1000,0.7010384356424343,"FM,SV,LR,TC,OV,TC-HARD"
20190926_102042_1_3,1000,0.7547787598262728,"TC,TC-MID"
20190926_102042_1_4,1000,0.7872379682864267,"TC,TC-MID"
20190926_102042_1_5,1000,0.7966384062194467,"TC,TC-MID"
20190926_102042_1_6,1000,0.8071160033192006,
20190926_102042_1_7,1000,0.7413012295883913,
20190926_102042_1_8,1000,0.8055128049634056,"TC,TC-MID"
20190926_102042_1_9,429,0.7514153925319365,"TC,TC-MID"
20190926_111509_1_1,1000,0.8333084153079628,"FM,TC,TC-EASY"
20190926_111509_1_2,1000,0.7591565656824485,"TC,TC-MID"
20190926_111509_1_3,1000,0.7291798130549907,"FM,TC,OV,TC-EASY"
20190926_111509_1_4,1000,0.8139981909353388,
20190926_111509_1_5,1000,0.7860228386269553,
20190926_111509_1_6,1000,0.7173567019908701,
20190926_111509_1_7,1000,0.7671734646210266,"TC,TC-MID"
20190926_111509_1_8,1000,0.7978993561097382,"TC,TC-MID"
20190926_111509_1_9,139,0.8203156584338879,"TC,TC-MID"
20190926_134054_1_1,1000,0.8239903635877399,"TC,TC-MID"
20190926_134054_1_2,1000,0.7701599661131996,"TC,TC-HARD"
20190926_134054_1_3,1000,0.7693108448613187,"TC,TC-MID"
20190926_134054_1_4,1000,0.7663547019059003,"TC,TC-MID"
20190926_134054_1_5,1000,0.7730716798692334,"TC,TC-EASY"
20190926_134054_1_6,1000,0.7891121522107413,"TC,TC-EASY"
20190926_134054_1_7,1000,0.8110704917357064,"FM,TC,TC-EASY"
20190926_134054_1_8,1000,0.7997273894543705,
20190926_134054_1_9,558,0.7601191650037155,
