epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,376.832,1.54065,0.96694,1.0945,0.94554,0.90662,0.94856,0.47158,1.71479,0.77207,1.08328,0.00333129,0.00333129,0.0700184
2,712.823,1.4851,0.70616,1.07948,0.96783,0.90325,0.94442,0.47903,1.70965,0.76581,1.1011,0.00659865,0.00659865,0.0399524
3,1048.33,1.47573,0.70125,1.10023,0.96,0.88761,0.92919,0.47011,1.75593,0.76093,1.11192,0.0098,0.0098,0.0098204
4,1387.26,1.45375,0.66919,1.11233,0.9628,0.89682,0.94834,0.47807,1.70987,0.73138,1.11932,0.009703,0.009703,0.009703
5,1722.16,1.42807,0.63066,1.1076,0.96508,0.92017,0.95521,0.48858,1.68446,0.70052,1.10627,0.009604,0.009604,0.009604
6,2061.84,1.41313,0.61012,1.10425,0.97242,0.90715,0.9543,0.49013,1.67598,0.67321,1.10523,0.009505,0.009505,0.009505
7,2408.75,1.40022,0.59832,1.09676,0.96674,0.91291,0.95251,0.48491,1.68199,0.67074,1.0997,0.009406,0.009406,0.009406
8,2755.51,1.37995,0.58395,1.0883,0.97548,0.91331,0.95606,0.4967,1.65501,0.6473,1.08827,0.009307,0.009307,0.009307
9,3095.7,1.37255,0.57374,1.08718,0.97741,0.9247,0.95949,0.50174,1.62033,0.63385,1.07775,0.009208,0.009208,0.009208
10,3435.71,1.36118,0.56422,1.08416,0.97141,0.93434,0.95718,0.50064,1.63551,0.62125,1.08548,0.009109,0.009109,0.009109
11,3773.44,1.36054,0.56073,1.0831,0.97048,0.93983,0.96457,0.49812,1.64864,0.60351,1.09046,0.00901,0.00901,0.00901
12,4123.2,1.35103,0.55614,1.07898,0.97605,0.94055,0.96618,0.4963,1.66401,0.61093,1.09127,0.008911,0.008911,0.008911
13,4473.27,1.34847,0.55156,1.07736,0.98454,0.91662,0.95428,0.50314,1.6407,0.6609,1.08445,0.008812,0.008812,0.008812
14,4848.31,1.33696,0.54337,1.07396,0.972,0.93252,0.9647,0.5015,1.6404,0.60426,1.08329,0.008713,0.008713,0.008713
15,5195.71,1.3347,0.542,1.07171,0.97793,0.92205,0.95782,0.49841,1.65544,0.61623,1.08674,0.008614,0.008614,0.008614
16,5558.64,1.33225,0.53815,1.07173,0.97733,0.92697,0.96324,0.50929,1.62969,0.62087,1.0795,0.008515,0.008515,0.008515
17,5909.23,1.32916,0.53289,1.07093,0.97609,0.92676,0.96143,0.49904,1.64599,0.61453,1.08578,0.008416,0.008416,0.008416
18,6264.95,1.32676,0.53045,1.06792,0.97895,0.92142,0.95843,0.49982,1.6456,0.63215,1.08345,0.008317,0.008317,0.008317
19,6620.84,1.3214,0.52508,1.06649,0.9722,0.93504,0.96417,0.50706,1.64529,0.59475,1.08618,0.008218,0.008218,0.008218
20,6985.07,1.32057,0.52793,1.06677,0.97917,0.91917,0.95368,0.49712,1.6501,0.62857,1.08474,0.008119,0.008119,0.008119
21,7336.9,1.31324,0.52501,1.06245,0.9748,0.92672,0.95582,0.49854,1.66604,0.60214,1.08841,0.00802,0.00802,0.00802
22,7739.83,1.31514,0.52329,1.06369,0.97838,0.9245,0.95892,0.49343,1.66838,0.60464,1.09068,0.007921,0.007921,0.007921
23,8100.9,1.30703,0.51973,1.06306,0.97656,0.92785,0.96082,0.50181,1.65936,0.60372,1.08951,0.007822,0.007822,0.007822
24,8478.51,1.30727,0.51815,1.06222,0.97296,0.92962,0.95627,0.50201,1.65743,0.60598,1.08894,0.007723,0.007723,0.007723
25,8835.78,1.30568,0.51865,1.05858,0.97208,0.93116,0.95576,0.49626,1.65589,0.59948,1.08798,0.007624,0.007624,0.007624
26,9188.19,1.30265,0.51301,1.05696,0.98085,0.92293,0.95528,0.49951,1.65968,0.61425,1.0861,0.007525,0.007525,0.007525
27,9538.8,1.29655,0.5091,1.05696,0.98074,0.9218,0.95548,0.50322,1.64843,0.61076,1.08346,0.007426,0.007426,0.007426
28,9896.65,1.29833,0.50893,1.05458,0.97731,0.92798,0.95671,0.49877,1.65207,0.60486,1.08422,0.007327,0.007327,0.007327
29,10248.1,1.29441,0.50895,1.05819,0.97752,0.931,0.96211,0.49787,1.6507,0.59412,1.08412,0.007228,0.007228,0.007228
30,10645.2,1.28391,0.50505,1.0502,0.97846,0.93189,0.96213,0.49963,1.64503,0.59558,1.08182,0.007129,0.007129,0.007129
31,11000.3,1.28738,0.50557,1.0528,0.97793,0.92793,0.96172,0.50136,1.64239,0.59656,1.08101,0.00703,0.00703,0.00703
